aX,aY,aZ,gX,gY,gZ
0.02,0.00,0.97,-0.43,1.77,0.55
0.00,0.00,0.97,-0.49,1.77,0.43
-0.05,0.01,0.97,-0.31,1.95,0.67
0.00,0.00,0.97,-0.37,1.95,0.61
0.01,0.01,0.96,-0.55,1.89,0.43
-0.00,0.01,0.96,-0.67,1.95,0.43
-0.01,0.00,0.97,-0.43,1.95,0.55
-0.02,0.01,0.97,-0.49,1.71,0.67
-0.01,0.01,0.97,-0.43,1.95,0.43
-0.01,0.01,0.97,-0.49,1.89,0.49
-0.00,0.00,0.97,-0.37,2.01,0.67
0.01,0.00,0.96,-0.37,2.44,0.55
0.04,0.00,0.97,-0.31,2.44,0.55
-0.00,0.00,0.97,-0.24,2.01,0.55
0.00,0.00,0.97,-0.67,2.08,0.55
0.00,-0.00,0.97,-0.43,1.77,0.67
0.00,0.00,0.97,-0.37,1.83,0.85
0.00,-0.00,0.97,-0.85,2.08,0.61
0.01,0.01,0.96,-0.73,1.89,0.37
0.00,0.00,0.97,-0.06,2.81,0.43
0.00,-0.00,0.97,0.37,2.69,0.31
0.00,0.00,0.97,-0.67,1.59,0.67
0.02,0.00,0.97,-0.43,1.89,0.43
0.05,0.02,0.97,-0.49,2.14,0.73
0.00,0.00,0.97,-0.43,2.26,0.55
0.01,-0.00,0.96,-0.73,2.01,0.73
0.00,-0.00,0.97,0.24,2.14,-0.12
