aX,aY,aZ,gX,gY,gZ
0.01,0.00,0.97,-0.49,2.01,0.79
0.01,0.00,0.97,-0.37,1.83,0.79
0.00,0.00,0.97,-0.49,1.89,0.98
0.01,0.00,0.97,-0.43,1.95,0.79
0.01,0.00,0.96,-0.37,1.77,0.73
-0.04,0.00,0.97,-0.49,1.89,0.67
0.03,0.00,0.96,-0.31,1.83,0.79
0.01,0.01,0.97,-0.79,2.08,0.85
0.01,0.00,0.97,-0.55,2.08,0.73
0.01,0.01,0.97,-0.43,1.77,0.79
0.01,0.01,0.97,-0.31,1.89,0.98
0.01,0.00,0.97,-0.49,2.08,0.67
0.01,0.00,0.96,-0.55,2.14,0.61
0.01,0.00,0.97,-0.55,2.01,0.55
0.07,0.01,0.96,-0.43,1.46,1.16
0.01,0.01,0.97,-1.10,2.93,0.85
0.00,0.00,0.97,-0.37,2.01,0.79
0.00,0.00,0.96,-0.43,1.95,0.79
0.00,0.00,0.97,-0.43,2.08,0.79
-0.00,-0.00,0.97,-0.49,1.95,0.67
0.00,0.00,0.97,-0.37,1.83,0.73
0.00,0.01,0.97,-0.31,1.83,0.73
